Title,Company,Location,Remote,Link,Source,Term,Skills,Lat,Lon
Teilprojektleitung Klima-Aktionsplan (m/w/d),Stadtverwaltung,Jena,False,https://www.greenjobs.de/stellenanzeige/teilprojektleitung-klima-aktionsplan--100151909/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,50.9281717,11.5879359
Director (m/w/d) – Energy & Resources,adelphi consult GmbH    / hybrid (mgl.),Berlin,False,https://www.greenjobs.de/stellenanzeige/director-energy-resources--100151898/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.5173885,13.3951309
"Fachkraft (m/w/d) aus dem Bereich Umweltwissenschaften, Landschaftsplanung, Regionalentwicklung, Geographie, Forst- oder Agrarwissenschaften oder vergleichbarer Fachrichtung",Landkreis    -Scharmbeck,Osterholz,False,https://www.greenjobs.de/stellenanzeige/fachkraft-aus-dem-bereich-umweltwissenschaften-landschaftsplanung-regionalentwicklung-geographie-forst-oder-agrarwissenschaften-oder-vergleichbarer-fachrichtung--100151892/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,53.2604518,8.7435145
Umweltplaner (m/w/d),"Kirchner Ingenieure   Braunschweig, , Varel, Felde",Bremen,False,https://www.greenjobs.de/stellenanzeige/umweltplaner--100151882/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,53.0758196,8.8071646
Internatsleitung + Arbeitslehre Aus- und Weiterbildung (m/w/d) im Forstlichen Bildungszentrum,Wald und Holz NRW,Arnsberg,False,https://www.greenjobs.de/stellenanzeige/internatsleitung-arbeitslehre-aus-und-weiterbildung-im-forstlichen-bildungszentrum--100151872/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,51.4002384,8.0605908
Wissenschaftliche*r Mitarbeiter*in (w/m/d) im Bereich Gemüsebau,Leibniz-Institut für Gemüse- und Zierpflanzenbau (IGZ) e.V.,Großbeeren,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-mitarbeiter-im-bereich-gemuesebau--100151862/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.3540888,13.307754
Projektkoordination (m/w/d) - Projekt: Natura 2000 stärken,Stiftung Natur und Umwelt RLP,Mainz,False,https://www.greenjobs.de/stellenanzeige/projektkoordination-projekt-natura-2000-staerken--100151846/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,49.9995205,8.2736253
Projektmitarbeiter/in (m/w/d),Grünlandzentrum Niedersachsen/Bremen e.V.,Ovelgönne,False,https://www.greenjobs.de/stellenanzeige/projektmitarbeiter--100151844/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,53.3427799,8.4209977
Ökologischer Baubegleiter (m/w/d),Baader Konzept GmbH    (Luhe),Winsen,False,https://www.greenjobs.de/stellenanzeige/oekologischer-baubegleiter--100151840/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,GIS/Remote Sensing,53.3636474,10.2059206
Fachexperte für ökologische Baubegleitung (m/w/d),Ingenieur- und Planungsbüro Lange GmbH & Co. KG,Moers,False,https://www.greenjobs.de/stellenanzeige/fachexperte-fuer-oekologische-baubegleitung--100151827/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,GIS/Remote Sensing,51.451283,6.62843
Technische Sachbearbeitung Grundwasserschutz (w/m/d),Regierungspräsidium,Kassel,False,https://www.greenjobs.de/stellenanzeige/technische-sachbearbeitung-grundwasserschutz--100151829/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,51.3157833,9.4978479
Umwelt- und Landschaftsplaner (m/w/d),Ingenieur- und Planungsbüro Lange GmbH & Co. KG,Moers,False,https://www.greenjobs.de/stellenanzeige/umwelt-und-landschaftsplaner--100151802/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,51.451283,6.62843
Projektleitung / Senior Consultant Kommunale Klimaanpassung (m/w/d),AtmoVera GmbH,Leipzig,False,https://www.greenjobs.de/stellenanzeige/projektleitung-senior-consultant-kommunale-klimaanpassung--100151785/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,51.3406321,12.3747329
Studentische oder wissenschaftliche Hilfskraft / geringfügige Beschäftigung (m/w/d),Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V.,Müncheberg,False,https://www.greenjobs.de/stellenanzeige/studentische-oder-wissenschaftliche-hilfskraft-geringfuegige-beschaeftigung--100151752/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.5037484,14.1404688
Pädagogischer Mitarbeiter (w/m/d) Umweltbildung,Oldenburgisch-Ostfriesischer Wasserverband,Schortens,False,https://www.greenjobs.de/stellenanzeige/paedagogischer-mitarbeiter-umweltbildung--100151750/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,"GIS/Remote Sensing, Lab/Field",53.5366547,7.9467348
Stadtplaner/in (w/m/i) Schwerpunkt klimagerechte Stadtentwicklung und Energiewende,Stadt,Bühl,False,https://www.greenjobs.de/stellenanzeige/stadtplaner-schwerpunkt-klimagerechte-stadtentwicklung-und-energiewende--100151741/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Planning/Law,48.6945066,8.134423
Landschaftsökologe/in / Umweltplaner/in / Umweltwissenschaftler/in (m/w/d),"Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (N...",Oldenburg,False,https://www.greenjobs.de/stellenanzeige/landschaftsoekologe-umweltplaner-umweltwissenschaftler--100151736/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,53.1389753,8.2146017
Sachbearbeitung (m/w/d) für den Aufgabenbereich Bodenschutz und Abfall,Landkreis,Wittmund,False,https://www.greenjobs.de/stellenanzeige/sachbearbeitung-fuer-den-aufgabenbereich-bodenschutz-und-abfall--100151717/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,53.5366656,7.7460764
Landschafts- und Umweltplaner (m/w/d),Gesellschaft für angewandte Ökologie und Umweltplanung mbH (GefaÖ),Berlin,False,https://www.greenjobs.de/stellenanzeige/landschafts-und-umweltplaner--100150783/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.5173885,13.3951309
"Wissenschaftliche Mitarbeit (Promotionsstelle) im Bereich: digitale Landschaftsökologie, globaler Wandel und urbanes Pollenmonitoring - in Teilzeit",Gottfried Wilhelm Leibniz Universität,Hannover,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-mitarbeit-promotionsstelle-im-bereich-digitale-landschaftsoekologie-globaler-wandel-und-urbanes-pollenmonitoring-in-teilzeit--100151703/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.3744779,9.7385532
Technische Sachbearbeiterin bzw. technischen Sachbearbeiter in der unteren Naturschutzbehörde (m/w/d),Kreis Nordfriesland - Untere Naturschutzbehörde,Husum,False,https://www.greenjobs.de/stellenanzeige/technische-sachbearbeiterin-bzw-technischen-sachbearbeiter-in-der-unteren-naturschutzbehoerde--100151685/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,54.4854137,9.0537941
Hochschulabsolvent:in der Geo- & Umweltwissenschaften (m/w/d),Geoplan GmbH,Osterhofen,False,https://www.greenjobs.de/stellenanzeige/hochschulabsolvent-der-geo-umweltwissenschaften--100151676/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,48.7019635,13.0201434
Sachbearbeiter/innen f.d. Bereich Immissionsschutz (w/m/d),Stadt,Kassel,False,https://www.greenjobs.de/stellenanzeige/sachbearbeiter-f-d-bereich-immissionsschutz--100151645/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,51.3157833,9.4978479
Sachbearbeiterin / Sachbearbeiter (m/w/d) für den Bereich Fachredaktion von Veröffentlichungen im Rahmen der Öffentlichkeitsarbeit,Bayerisches Landesamt für Umwelt,Hof,False,https://www.greenjobs.de/stellenanzeige/sachbearbeiterin-sachbearbeiter-fuer-den-bereich-fachredaktion-von-veroeffentlichungen-im-rahmen-der-oeffentlichkeitsarbeit--100151635/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,50.3187507,11.9162992
Projektmitarbeiter:in (m/w/d) - Projektstelle „Schlaumeise“ für Basisangebote - LEADER-Kooperationsprojekt „Neue Naturwächter*innen im Landkreis Zwickau“,"Landschaftspflegeverband ""Westsachsen"" e.V.  ,  /Pleiße, Limbach-Oberfrohna",Neukirchen,False,https://www.greenjobs.de/stellenanzeige/projektmitarbeiter-projektstelle-schlaumeise-fuer-basisangebote-leader-kooperationsprojekt-neue-naturwaechter-im-landkreis-zwickau--100151596/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,54.8687122,8.7339915
Projektmitarbeiter/in (m/w/d),Landschaftspflegeverband Rügen e.V.    auf Rügen,Bergen,False,https://www.greenjobs.de/stellenanzeige/projektmitarbeiter--100151595/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,49.7808936,7.4176059
Naturschutzfachliche Sachbearbeitung (m/w/d) - Thema: Naturverträglichkeit von Erneuerbaren-Energie-Anlagen,Landkreis,Cuxhaven,False,https://www.greenjobs.de/stellenanzeige/naturschutzfachliche-sachbearbeitung-thema-naturvertraeglichkeit-von-erneuerbaren-energie-anlagen--100151410/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,53.86878,8.698286
"Geowissenschaftlerin / Geowissenschaftler (w/m/d) oder Umweltwissenschaftlerin / Umweltwissenschaftler (w/m/d) für den Bereich Altlasten, schädlichen Bodenveränderungen und Grundwasserverunreinigungen",Bayerisches Landesamt für Umwelt,Hof,False,https://www.greenjobs.de/stellenanzeige/geowissenschaftlerin-geowissenschaftler-oder-umweltwissenschaftlerin-umweltwissenschaftler-fuer-den-bereich-altlasten-schaedlichen-bodenveraenderungen-und-grundwasserverunreinigungen--100151549/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,50.3187507,11.9162992
